epoch,categorical_accuracy,fscore,loss,val_categorical_accuracy,val_fscore,val_loss
27,0.956346094608307,0.117075368762016,0.131266310811043,0.914209187030792,0.117006361484528,0.340542525053024
28,0.957029759883881,0.115647755563259,0.127278655767441,0.921086549758911,0.127966612577438,0.412438988685608
29,0.956597685813904,0.11492857336998,0.127688243985176,0.912809729576111,0.120048031210899,0.393195390701294
30,0.955612301826477,0.11559584736824,0.133771166205406,0.912695527076721,0.133355155587196,0.362053960561752
31,0.959317326545715,0.116658248007298,0.119907468557358,0.920125484466553,0.120250687003136,0.328148394823074
32,0.956086277961731,0.115972198545933,0.128834545612335,0.905257523059845,0.125279471278191,0.441494673490524
33,0.95714807510376,0.116946682333946,0.12898126244545,0.91598504781723,0.112984180450439,0.623470544815064
34,0.95721048116684,0.115577898919582,0.127379953861237,0.927870213985443,0.130332797765732,0.296795725822449
35,0.957014739513397,0.11528354883194,0.127010703086853,0.908727943897247,0.120962783694267,0.347409695386887
36,0.956150054931641,0.116211600601673,0.130742430686951,0.917207181453705,0.133150368928909,0.370185315608978
37,0.962095499038696,0.117859981954098,0.111356906592846,0.924094378948212,0.125194817781448,0.306777387857437
38,0.960765600204468,0.11826504021883,0.112694598734379,0.920638203620911,0.126086711883545,0.32889187335968
39,0.961055815219879,0.118756376206875,0.114534817636013,0.914331436157227,0.115055188536644,0.382710129022598
40,0.961502134799957,0.116627626121044,0.112690925598145,0.928193092346191,0.131370395421982,0.317404121160507
41,0.958400070667267,0.116676360368729,0.121163852512836,0.917438566684723,0.123836942017078,0.327673077583313
42,0.958165287971497,0.116973742842674,0.123228833079338,0.915077388286591,0.126185521483421,0.373140960931778
43,0.971808135509491,0.120240241289139,0.0786173790693283,0.934821963310242,0.123013578355312,0.2572400867939
44,0.973885059356689,0.121256791055202,0.0720754787325859,0.935635805130005,0.124489903450012,0.27357143163681
45,0.969217777252197,0.121149785816669,0.0835123211145401,0.935679137706757,0.124911852180958,0.247098997235298
46,0.970198154449463,0.121994033455849,0.0828493759036064,0.932971060276032,0.1227652952075,0.264040291309357
47,0.970491409301758,0.119602434337139,0.0827654972672462,0.929120361804962,0.133750155568123,0.31893515586853
48,0.96885746717453,0.120244063436985,0.0861923918128014,0.932507514953613,0.12401469796896,0.278486162424088
49,0.968343675136566,0.121599465608597,0.0896343663334847,0.931961297988892,0.132136523723602,0.31416130065918
50,0.974827408790588,0.12152011692524,0.0691367462277412,0.937076687812805,0.124834060668945,0.282385170459747
51,0.970715939998627,0.121571645140648,0.078854613006115,0.935854911804199,0.124900437891483,0.262749701738358
52,0.970549583435059,0.122041642665863,0.0821205154061317,0.933489382266998,0.123403571546078,0.274348169565201
53,0.970769226551056,0.119824849069119,0.0811732336878777,0.929912149906158,0.133638665080071,0.337254524230957
54,0.969222605228424,0.120376415550709,0.0852152556180954,0.933001577854157,0.124213039875031,0.282471090555191
55,0.96860259771347,0.121603168547153,0.0884442254900932,0.932458162307739,0.13231086730957,0.313044488430023
